motis_id,name
,Filibus (Chartres)
5,Paznauntaler Verkehrsunternehmen Wilhelm Siegele GmbH
7,Burkhard-Reisebüro e.K
10,VR
1000,Helsingin seudun liikenne
10252,Bus Hassis
10253,Bus NVW (Walz)
10256,Verkehrsgesellschaft Vorpommern-Rügen
10272,GVB Verkehrs- und Betriebsgesellschaft Gera mbH
10273,Verkehrsunternehmen Andreas Schröder
10278,RVG Regionalverkehr Gera
10281,RB-Gesellschaft UHK mbH
10283,Jenaer Nahverkehr GmbH
10284,JES Verkehrsgesellschaft mbH
10285,Personenverkehrsgesellschaft mbH Weimarer Land
10287,Stadtwirtschaft Weimar GmbH
10288,Thüringerwaldbahn und Straßenbahn Gotha GmbH
10289,Ilmenauer Omnibusverkehr
10291,Kombus
10292,MBB GmbH
10297,SNG Suhl
10298,VWG Sömmerda
10300,Werrabus
10310,Omnibusbetrieb Lust
10353,BördeBus Verkehrsgesellschaft mbH
10354,PVG Burgenlandkreis
10357,Dessauer Verkehrsgesellschaft
10358,Dessauer Verkehrs- und Eisenbahngesellschaft
10359,Harzer Verkehrsbetriebe
10368,PVGS Altmarkkreis Salzwedel
1037,Koiviston Auto Länsi Oy
10382,vogtlandbahn - Die Länderbahn GmbH DLB
104,S.G.M. S.p.A.
1040,Vr
1042,Salon Tilausmatkat Oy
10439,DB RegioNetz Verkehrs GmbH Oberweisbacher Berg+Schwarzatalb
10466,Nederlandse Spoorwegen
1047,J. Vainion Liikenne Oy
1055,Pekolan Liikenne Oy
1056,Vekka Group Oy
1057,Valkeakosken Liikenne Oy
1062,Savonlinja Oy
1065,Koiviston Auto Jyväskylä Oy
10705,Regionale Verkehrsbetriebe Schaffhausen
1071,RENFE OPERADORA
1077,Mika K. Niskanen Oy
10837,alex - Die Länderbahn GmbH DLB
10846,SDG Sächsische Dampfeisenbahngesellschaft mbH
10847,Bentheimer Eisenbahn
10851,City-Bahn Chemnitz
10858,Rurtalbahn
1086,OSL / Koiviston Auto Oulu Oy
10861,EVB ELBE-WESER GmbH
10865,Freiberger Eisenbahngesellschaft
10875,Harzer Schmalspurbahn
10882,Stadtbahn Karlsruhe SEV
10887,Berchtesgadener Land Bahn
10890,trilex-express - Die Länderbahn GmbH DLB
10892,trilex  - Die Länderbahn GmbH DLB
10894,REGIOBAHN
1090,"Hangon liikenne, Friman&Co"
10904,Mecklenburgische Bäderbahn Molli
10905,Norddeutsche Eisenbahn Gesellschaft
1091,Oy Amper&Wikström Ab
10912,NEB Niederbarnimer Eisenbahn
10919,Nordbahn Eisenbahngesellschaft
1092,Turun Tilausliikenne Oy
10923,oberpfalzbahn - Die Länderbahn GmbH DLB
10924,Sächsisch-Oberlausitzer Eisenbahngesellschaft
10927,Hanseatische Eisenbahn GmbH
1093,Rolly Uusimaa Oy
10959,Daadetalbahn
10966,erixx
10968,Adler-Schiffe
1097,Vekka liikenne Oy
10971,Bayerische Zugspitzbahn
1099,Lehtimäen Liikenne Oy
11000,Neu KVG
11002,AKMasten
11003,HADAG-Z
11006,VKP
11008,VHH Bus
1101,Ventoniemi Oy
11021,Stadtverkehr Lindau
11026,ASEAG Netliner
11046,Hessische Landesbahn GmbH
11049,Eurobahn
11076,Kein Bereich
1113,Bus Travel Oy Reissu Ruoti
1122,Savonlinja
1123,Pohjolan Turistiauto Oy
1124,Oy Rytkönen & Co
1129,Linja-Autoliike Y. Makkonen & Kumpp.
1130,Linja-Autoliike Veljekset Laitinen Oy
1150,Matka-Kyllönen Oy
1154,J.m. Eskelisen Lapin Linjat Oy
1155,Jbus Oy
1159,Rukahuolto Oy
1161,Liikenne Rundgren Oy
1162,Pohjolan Matka
1164,Järvenpään kaupunki
1168,Ventoniemi Oy/Liikenne Seppälä Oy
1169,Wikström / Amper (Oy Amper & Wikström Ab)
1172,Wiimax (Oulaisten Liikenne Oy)
1175,Tallink Grupp AS
11761,VVB Völklinger Verkehrsbetriebe GmbH
1177,A Kyllönen Oy
1180,SBV Janßen GmbH & Co. KG
1185,Schrage Reisen
11901,Stadtverkehr Aschaffenburg
