wikidata_id,name
Q1257968,3LänderBahn
Q279231,A. hartrodt
Q278858,A. Kirsten
Q15781102,A. Reich
Q278453,A.V.G. Ascherslebener Verkehrsgesellschaft
Q15869605,Aachen-Maastrichter Eisenbahn-Gesellschaft
Q300755,Aachener Straßenbahn und Energieversorgungs-AG
Q2246805,Abellio Deutschland
Q15781311,Abellio Rail Mitteldeutschland
Q318680,Abellio Rail NRW
Q383308,Afit
Q292722,AG Ruhr-Lippe-Eisenbahnen
Q393786,Agilis
Q124815385,Ahaus-Enscheder Eisenbahn
Q4651754,AHG Industry
Q402705,Ahrenkiel-Gruppe
Q109647908,AKE-Eisenbahntouristik
Q266805,AKN Eisenbahn GmbH
Q131914905,Alb-Bähnle Amstetten-Oppingen
Q896547,Albtal-Verkehrs-Gesellschaft
Q114810299,Allegra Deutschland
Q2648785,Allgemeine Deutsche Eisenbahn-Betriebs-GmbH
Q2648808,Allgemeine Flensburger Autobusgesellschaft
Q19834422,Aloys Baron
Q1475955,Alpina Bad Homburg
Q2651139,Alpina Rhein-Main
Q5390001,Altdamm-Colberger Eisenbahn-Gesellschaft
Q442857,Altmärkische Kleinbahn
Q477869,Amrumer Inselbahn
Q535314,Angelner Dampfeisenbahn
Q557332,Anklam-Lassaner Kleinbahn
Q125423783,Anklamer Verkehrsgesellschaft
Q569042,Ansbacher Bäder und Verkehr
Q589749,Anton Graf GmbH
Q120362838,ARGE Nahverkehrsgesellschaft Merzig-Wadern
Q647991,Argo Reederei
Q64212458,Arverio Baden-Württemberg
Q64212479,Arverio Bayern
Q30644989,Arverio Deutschland GmbH
Q757176,Atlas Levante-Linie
Q760183,Aug. Bolten Wm. Miller’s Nachfolger
Q760546,Augsburger Localbahn
Q760573,Augsburger Verkehrsgesellschaft
Q784956,Auto Webel
Q785650,Autobahnexpress
Q786165,Autobus Sachsen
Q786168,Autobus Sippel
Q786162,AutobusOberbayern
Q786975,Autokraft
Q790773,Aviaction
Q790816,Aviation Handling Services
Q129362818,Avocargo
Q795142,B.B.-Reisen
Q798769,Bad Schwalbacher Kurbahn
Q101228517,Bahnbetriebsgesellschaft Stauden
Q800264,BahnBus Hochstift
Q800344,Bahnen der Stadt Monheim
Q800345,Bahnen des Rhein-Wupper-Kreises
Q14531576,Bahntouristikexpress
Q808502,Barnimer Busgesellschaft
Q810412,Basler Personenschifffahrt
Q812251,Bayerische Ludwigsbahn
Q259805,Bayerische Oberlandbahn
Q812270,Bayerische Regiobahn
Q812272,Bayerische Regionaleisenbahn
Q181393,Bayerische Seenschifffahrt
Q15787250,Bayerische Zugspitzbahn Bergbahn
Q812354,Bayerischer Lloyd
Q812482,Bayern Express & P. Kühn Berlin
Q27767999,BayernBahn
Q70748884,Bayernbus
Q812501,Bayernhafen Gruppe
Q795530,BBC Chartering
Q15784930,BBL Logistik
Q813651,Beck+Schubert
Q795809,BEHALA
Q816230,Beluga Shipping
Q818256,Bentheimer Eisenbahn
Q793203,Berchtesgadener Land Bahn
Q821302,Berlin Linien Bus
Q821143,Berlin-Stettiner Eisenbahn-Gesellschaft
Q99633,Berliner Verkehrsbetriebe
Q832111,Betriebsvereinigung der Südwestdeutschen Eisenbahnen
Q857333,Bielefelder Kreisbahnen
Q862968,Billwerder Industriebahn
Q883376,Bleckeder Kleinbahn
Q883377,Bleckeder Kreisbahn
Q98455945,Bocholter Eisenbahngesellschaft
Q889060,Bochum-Gelsenkirchener Straßenbahnen
Q889679,Bodensee-Oberschwaben-Bahn
Q889686,Bodensee-Schiffsbetriebe
Q892747,Bonner Personen Schiffahrt
Q1801900,BördeBus Verkehrsgesellschaft
Q883555,Borkumer Kleinbahn
Q124737656,Borkumer Kleinbahn und Dampfschiffahrt
Q895503,BoxXpress.de
Q285410,Brandenburgisch-Afrikanische Compagnie
Q901849,Braunschweig-Schöninger Eisenbahn
Q901999,Braunschweiger Verkehrs-GmbH
Q902025,Braunschweigische Landes-Eisenbahn-Gesellschaft
Q3633200,Breisgau-S-Bahn GmbH
Q907307,Bremen-Mindener Schiffahrts-AG
Q907502,Bremenports
Q907798,Bremer Reedereien
Q907852,Bremer Staatsbahn
Q907975,BremerhavenBus
Q908048,Bremisch-Hannoversche Kleinbahn
Q908078,Bremische Hafeneisenbahn
Q2657565,BRH ViaBus
Q915184,Briese Schiffahrt
Q924755,Brodschelm Verkehrsbetrieb
Q995750,Bröltalbahn
Q797076,BT Berlin Transport
Q999875,Buckower Kleinbahn
Q1017245,Busbetrieb Josef Ettenhuber
Q1017663,Buss Group
Q64521188,Busservice Watzinger
Q1017813,Busverkehr Berlin
